Latitude (decimal degrees): -1.430
Longitude (decimal degrees): 36.687
Elevation (m): 1827.0
Irradiance Time Offset (h): 0.0973
month,year
1,2015
2,2014
3,2008
4,2008
5,2011
6,2012
7,2014
8,2019
9,2022
10,2014
11,2014
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,18.07,55.82,0.0,-0.0,0.0,332.12,1.97,56.0,82370.0
20150101:0100,17.86,56.41,0.0,-0.0,0.0,329.97,1.91,52.0,82390.0
20150101:0200,17.65,57.0,0.0,-0.0,0.0,327.81,1.84,50.0,82420.0
20150101:0300,17.44,57.58,0.0,-0.0,0.0,325.66,1.78,50.0,82500.0
20150101:0400,17.23,58.17,94.0,418.79,41.0,323.5,1.72,50.0,82530.0
20150101:0500,17.03,58.76,355.0,774.8,77.0,321.35,1.66,43.0,82620.0
20150101:0600,16.82,59.34,604.0,890.24,99.0,319.19,1.59,42.0,82630.0
20150101:0700,16.61,59.93,811.0,939.37,118.0,317.04,1.53,45.0,82610.0
20150101:0800,24.17,31.7,965.0,980.68,123.0,337.1,2.76,44.0,82560.0
20150101:0900,25.52,27.7,1046.0,999.35,125.0,344.5,2.62,45.0,82490.0
20150101:1000,26.44,25.05,1046.0,998.41,125.0,348.95,2.62,46.0,82400.0
20150101:1100,27.14,23.4,966.0,980.1,122.0,355.1,2.62,49.0,82320.0
20150101:1200,27.44,22.65,822.0,962.54,108.0,351.45,2.62,54.0,82230.0
20150101:1300,27.06,23.4,604.0,875.03,103.0,356.1,2.97,55.0,82200.0
20150101:1400,26.18,24.9,363.0,797.35,72.0,352.0,3.59,60.0,82200.0
20150101:1500,24.72,27.45,102.0,480.62,38.0,360.55,4.07,67.0,82250.0
20150101:1600,22.91,30.4,0.0,-0.0,0.0,356.85,4.28,67.0,82300.0
20150101:1700,21.32,34.85,0.0,-0.0,0.0,336.75,4.28,62.0,82380.0
20150101:1800,20.17,37.1,0.0,-0.0,0.0,327.05,4.07,58.0,82430.0
20150101:1900,19.3,38.35,0.0,-0.0,0.0,325.5,3.45,57.0,82510.0
20150101:2000,18.53,41.05,0.0,-0.0,0.0,322.4,2.9,58.0,82500.0
20150101:2100,17.75,43.9,0.0,-0.0,0.0,319.9,2.48,61.0,82470.0
20150101:2200,17.12,45.45,0.0,-0.0,0.0,321.65,2.34,62.0,82440.0
20150101:2300,16.43,47.0,0.0,-0.0,0.0,315.05,2.14,60.0,82410.0
20150102:0000,15.75,48.65,0.0,-0.0,0.0,311.2,2.0,58.0,82400.0
20150102:0100,15.31,52.25,0.0,-0.0,0.0,309.75,1.93,54.0,82410.0
20150102:0200,14.63,56.0,0.0,-0.0,0.0,304.2,1.86,52.0,82420.0
20150102:0300,14.06,60.2,0.0,-0.0,0.0,300.95,1.86,50.0,82490.0
20150102:0400,13.78,60.2,95.0,448.66,39.0,298.6,1.72,51.0,82520.0
20150102:0500,16.76,50.75,360.0,800.38,74.0,298.05,1.59,49.0,82570.0
20150102:0600,20.19,37.1,609.0,902.58,98.0,304.8,2.21,42.0,82580.0
20150102:0700,22.87,27.2,818.0,952.43,116.0,313.1,3.24,44.0,82530.0
20150102:0800,24.89,23.75,974.0,992.54,122.0,320.3,3.24,45.0,82500.0
20150102:0900,26.52,20.0,1056.0,1010.95,124.0,327.25,2.97,50.0,82440.0
20150102:1000,27.72,18.75,1057.0,1011.66,123.0,333.65,2.9,59.0,82370.0
20150102:1100,28.46,16.95,982.0,1005.42,115.0,337.5,2.97,67.0,82300.0
20150102:1200,28.68,17.6,832.0,976.72,106.0,340.4,3.24,73.0,82240.0
20150102:1300,28.3,18.2,616.0,901.98,98.0,341.2,3.66,76.0,82200.0
20150102:1400,27.31,20.9,361.0,766.08,80.0,340.4,4.21,75.0,82210.0
20150102:1500,25.52,23.9,100.0,444.51,40.0,337.9,4.55,72.0,82240.0
20150102:1600,23.43,27.35,0.0,-0.0,0.0,334.2,4.21,68.0,82280.0
20150102:1700,21.89,31.3,0.0,-0.0,0.0,328.05,4.21,64.0,82330.0
20150102:1800,20.78,33.3,0.0,-0.0,0.0,321.85,4.14,60.0,82380.0
20150102:1900,20.06,35.75,0.0,-0.0,0.0,319.9,3.59,60.0,82470.0
20150102:2000,19.24,36.8,0.0,-0.0,0.0,317.4,3.17,61.0,82480.0
20150102:2100,18.47,38.1,0.0,-0.0,0.0,315.05,2.83,64.0,82460.0
20150102:2200,17.72,40.75,0.0,-0.0,0.0,312.55,2.41,65.0,82430.0
20150102:2300,16.97,42.15,0.0,-0.0,0.0,309.85,2.07,61.0,82400.0
20150103:0000,16.16,45.15,0.0,-0.0,0.0,307.5,1.86,54.0,82420.0
20150103:0100,15.29,46.75,0.0,-0.0,0.0,305.7,1.79,47.0,82450.0
20150103:0200,14.64,50.1,0.0,-0.0,0.0,303.65,1.86,43.0,82490.0
